SlNo,Barcode,Item Name,Size,Party Name,P.Price,S.Price,Qty,Amount,HSNCode,EAN CODE
230,2914,KRAFT CHEDDAR 250G,,A ONE SANDEEP,170.00,350.00,4,680.11,,9300650263437
231,2916,GIFT PACK,,yumm fresh,20.00,30.00,8,160.00,,  
232,2918,CASHEW W400,,APMC,818.50,1200.00,0,3.28,0801,  
233,2921,YOGITO POP,,A ONE SANDEEP,2.17,10.00,62,134.54,,  
234,2926,LOINDOR MILK CHOCOLATE 38G,,jublee,90.00,130.00,5,450.00,,4000539363108
235,2928,LOACKER COCOA & MILK,,jublee,220.00,299.00,1,220.00,,8000380180783
236,2930,LOACKER TIRAMISU,,jublee,220.00,299.00,2,440.01,,8000380140541
237,2932,ALMARAI SLICES BURGER,,local purchase,280.00,380.00,3,840.00,,6281007169004
238,2933,ALMARAI SLICES LOW FAT,,local purchase,280.00,380.00,3,840.00,,6281007184489
239,2934,PRINGLES SOUR CREAM & ONION 40G,,MAHAVIR,50.00,70.00,6,300.03,,5053990107377
240,2938,PAPER BOAT LYCHEE RAS 180ML,,AYU INVESTMENTS,14.88,20.00,9,128.58,22029030,  
241,2951,CANDY WILD BERRY,,jublee,175.00,225.00,1,175.00,,4037719068317
242,2953,SOUR CHERRY DROP,,MAHAVIR,180.00,225.00,3,540.01,,4013197767027
243,2954,BUTTERSCOTCH DROPS,,MAHAVIR,180.00,225.00,1,180.00,,4037719167072
244,2963,TANGLY MANGO PICKLE,,JAI SHRI KRISHNA,70.00,105.00,2,140.00,,  
245,2964,JEERA KAIRI PICKLE,,JAI SHRI KRISHNA,80.00,120.00,1,80.00,,  
246,2965,LIMBOO CHATNI PICKLE,,JAI SHRI KRISHNA,55.00,85.00,3,165.00,,  
247,2966,CHHUNDA PICKLE,,JAI SHRI KRISHNA,55.00,85.00,2,110.00,,  
248,2970,MIX MASALA PICKLE,,JAI SHRI KRISHNA,60.00,90.00,1,60.00,,  
249,2975,LIMBOO CHATNI PICKLE,,JAI SHRI KRISHNA,55.00,85.00,1,55.00,,  
250,2977,MURABBA PICKLE,,JAI SHRI KRISHNA,65.00,100.00,1,65.00,,  
251,2978,LIMBOO MASALA PICKLE,,JAI SHRI KRISHNA,65.00,100.00,1,65.00,,  
252,2981,GREEN CHILLY PICKLE,,JAI SHRI KRISHNA,60.00,90.00,3,180.00,,  
253,2985,TROPICANA APPLE DELIGHT 200G,,PIONEER SALES CORPORATION,17.54,20.00,13,180.18,22029020,8902080011445
254,2987,TROPICANA LITCHI 200ML,,PIONEER SALES CORPORATION,15.74,20.00,3,44.07,22029020,8902080011278
255,2990,TROPICANA MOSAMBI DELIGHT 200ML,,PIONEER SALES CORPORATION,16.04,20.00,4,47.53,22029020,8902080011018
256,2991,TROPICANA POMEGRANATE DELIAGHT 200ML,,PIONEER SALES CORPORATION,15.77,20.00,1,14.72,22029020,8902080011612
257,2996,TROPICANA APPLE JUICE,,PIONEER SALES CORPORATION,23.66,30.00,12,265.02,2009,8902080011032
258,2997,TROPICANA ORANGE JUICE,,PIONEER SALES CORPORATION,23.66,30.00,1,22.09,2009,8902080011025
259,3019,BEE CLASSIC HONEY 30GM,,M/S LivRite Foods LLP,26.67,40.00,12,320.04,,  
260,3020,BEE KASHMIRI HONEY 30G,,M/S LivRite Foods LLP,33.33,50.00,8,266.66,,  
261,3030,LINDT LINDOR STRAWBERRY,,local purchase,550.00,1000.00,3,1650.00,,8003340097619
262,3033,chaakri khakra methi masala,,SHRAMIK NAARI SANGH,90.00,85.00,3,162.00,19059090,8901456000045
263,3034,chaakri khakra khichdi,,SHRAMIK NAARI SANGH,51.00,85.00,1,51.01,19059090,8901456000038
264,3037,chaakri breakfast khakra,,SHRAMIK NAARI SANGH,90.00,85.00,3,162.00,19059090,8901456000021
265,3038,chaakri khakra jeera,,SHRAMIK NAARI SANGH,90.00,85.00,2,108.00,19059090,8901456000014
266,3039,chaakri khakra peppery oats,,SHRAMIK NAARI SANGH,63.00,105.00,1,62.98,19059090,8901456000120
267,3040,chaakri khakra punjabi masala,,SHRAMIK NAARI SANGH,90.00,85.00,4,216.00,19059090,8901456000069
268,3041,chaakri khakra diet methi,,SHRAMIK NAARI SANGH,90.00,85.00,6,324.00,19059090,8901456000106
269,3042,chaakri khakra low calorie,,SHRAMIK NAARI SANGH,51.00,85.00,2,102.01,19059090,8901456000113
270,3043,chaakri khakra nachni,,SHRAMIK NAARI SANGH,90.00,85.00,8,432.00,19059090,8901456000052
271,3044,FERRERO  ROCHER  T 16,,A ONE SANDEEP,355.00,550.00,9,3195.15,,8000500037874
272,3045,MUNCHYS CRACKER SANDWICH,,MAHAVIR,140.00,175.00,4,560.01,,9556439887138
273,3047,TIM TAM CAPPUCINO,,jublee,100.00,140.00,3,300.00,,8886015423131
274,3050,AMERICAN GREEN HONEY 80G,,local purchase,80.00,120.00,16,1280.00,,003004575512
275,3052,JAF TEA MINT 50G,,SALEEM BAI,100.00,200.00,2,200.01,,4791038200505
276,3055,LINDT ORANGE,,local purchase,190.00,330.00,6,1140.09,,3046920028370
277,3056,NESCAFE GREEN COFFEE BLEND,,A ONE SANDEEP,195.00,480.00,3,585.03,,8992696428690
278,3058,BOOBOO STRAWBERRY CO CANDY,,U K SALES,66.97,100.00,8,521.43,,8906090980067
